S1,S2,S3,S4,S5,iteration
0.24495677233429392,0.1239193083573487,0.1930835734870317,0.24495677233429392,0.1930835734870317,0
0.25604227215678893,0.1029935362237875,0.19208391150402532,0.2685371853277313,0.1803430947876669,1
0.26855299981285624,0.0821323545016021,0.1901686548633969,0.2954318530282284,0.16371413779391641,2
0.2821085325022327,0.062326889981152066,0.18669633380386258,0.32560766497526117,0.14326057873749154,3
0.29602587881060183,0.044620327922670816,0.18092115142301943,0.35869312383858376,0.11973951800512425,4
0.30931556049927444,0.02989399178998009,0.1721414047597632,0.39392465170359525,0.09472439124738713,5
0.3207923824517928,0.018632903203114674,0.15994077663793027,0.43022978483292024,0.07040415287424204,6
0.3293047670931926,0.010784996324754059,0.14444039033657713,0.4664828820749299,0.04898696417054628,7
0.3339848575582967,0.005816007065407838,0.12640434371315343,0.5018360818678117,0.03195870979533033,8
0.3343695182883038,0.0029449506292557443,0.10708696215228282,0.5359232999358733,0.019675268994284456,9
0.3303399297675478,0.0014143086748269816,0.08788788562150857,0.5688212460569553,0.01153662987916147,10
0.32197927405240706,0.0006505292585629271,0.07000996076931207,0.6008567056072426,0.0065035303124754765,11
0.3094721179967522,0.00028886585185724774,0.05426367555101624,0.6324227316628779,0.0035526089374964304,12
0.29307968954678915,0.0001245435660748148,0.041033350698666315,0.6638710269094407,0.001891389279029113,13
0.27315948751768854,5.2331611485621155e-05,0.0303491351068502,0.6954538796781388,0.000985166085836921,14
0.25019556103343554,2.1474652617262394e-05,0.022002564580255804,0.7272772558586604,0.000503143875030901,15
0.2248236486304999,8.61222398579915e-06,0.015660709342879938,0.7592548391303962,0.0002521906722382784,16
0.19784239604616394,3.3741618763878276e-06,0.010954389081754015,0.791075792348058,0.00012404836214743634,17
0.17019872099232375,1.2899799407202192e-06,0.00753358179489361,0.8222065714119927,5.983582084927423e-05,18
0.14293369202212963,4.805382394129417e-07,0.005094596062101856,0.8519429566056556,2.8274771873565803e-05,19
0.11708389597147784,1.741960057127243e-07,0.003388082105694332,0.8795147702805994,1.3077446222744336e-05,20
