S1,S2,S3,S4,S5,iteration
0.24495677233429392,0.1239193083573487,0.1930835734870317,0.24495677233429392,0.1930835734870317,0
0.25271566605491086,0.10163206944783276,0.18261759038711553,0.2634457609813699,0.19958891312877106,1
0.25935050844095475,0.08149668694622438,0.17089518435199694,0.2828434452130656,0.20541417504775844,2
0.26457621180501745,0.06390929352372396,0.1580680104968606,0.3030170413506621,0.21042944282373596,3
0.26816121991893915,0.04905190670784208,0.14439036015718612,0.3238460488656729,0.21455046435035977,4
0.2699405228008627,0.036894897514652844,0.13019406425737656,0.34523392116874796,0.21773659425835995,5
0.26981830700282666,0.027237195215733263,0.1158515940787122,0.367112651591465,0.21998025211126288,6
0.2677631651569879,0.019767115921617444,0.10173610381371875,0.3894411636159649,0.22129245149171098,7
0.26379997744684164,0.01412442168805807,0.08818629696924643,0.4122001315467026,0.22168917234915128,8
0.2580015704090399,0.009949979551696197,0.07548100239834532,0.43538582387951313,0.22118162376140546,9
0.25048142593728695,0.0069178077195431635,0.06382509859080782,0.459004416682205,0.2197712510701571,10
0.24138733751763194,0.004750806900422195,0.053346027347714535,0.48306700149526327,0.217448826738968,11
0.23089542865440615,0.003224545960393805,0.04409876864717105,0.5075848329137652,0.21419642382426385,12
0.2192041066183925,0.0021638308055838386,0.03607657377411401,0.5325642807355203,0.20999120806638927,13
0.2065278767991566,0.0014358049482341457,0.029224730805130154,0.5580012198847369,0.2048103675627423,14
0.19309118885152537,0.0009420471977008111,0.023454999483515242,0.5838749380369981,0.19863682643026057,15
0.179122543696312,0.0006110506768522046,0.01865895587625701,0.6101419136791739,0.19146553607140493,16
0.16484901765354004,0.00039172116573101695,0.014719174493007874,0.6367299861296482,0.1833101005580729,17
0.15049125020983853,0.0002480831570376623,0.011517803659015268,0.6635335398450993,0.1742093231290093,18
0.136258862112154,0.00015514344846239472,0.008942565843058385,0.6904103999570682,0.16423302863925698,19
0.12234624509659212,9.575600966202234e-05,0.0068905087424072425,0.7171811924908431,0.15348629766049549,20
