S1,S2,S3,S4,S5,iteration
0.24495677233429392,0.1239193083573487,0.1930835734870317,0.24495677233429392,0.1930835734870317,0
0.24969523303175872,0.1016396851815557,0.21034000996076704,0.2651550408534332,0.17317003097248543,1
0.2525069173857852,0.08028536113777673,0.22974597591944493,0.28616034064854384,0.1513014049084493,2
0.2525943387639509,0.06078215547939403,0.25116354984660116,0.30727830720517235,0.12818164870488155,3
0.2492376876135449,0.04393370110687976,0.27431539746909184,0.32765406734301505,0.10485914646746841,4
0.2419639661020551,0.030248959023394268,0.298818460936168,0.34639006810336687,0.08257854583501588,5
0.23069214982114467,0.01983507466692773,0.3242531621074466,0.36269784862336785,0.06252176478111324,6
0.2157870092505713,0.012411532120830807,0.3502427898812479,0.3760226036666318,0.04553606508071821,7
0.1979920670010848,0.007438282871907386,0.37650826556131683,0.3860857042008497,0.03197568036484131,8
0.1782747629682161,0.004288709343664157,0.4028789993348173,0.392838095632725,0.02171943272057756,9
0.1576532352290632,0.0023896094810644175,0.4292684786939857,0.3963671934724051,0.014321483123481532,10
0.13706083886964143,0.0012916558606429658,0.4556390446954122,0.3968112099039942,0.009197250670309274,11
0.11726685838195569,0.000679347570751237,0.4819755416118219,0.3943102469987546,0.005768005436716673,12
0.0988445562082098,0.00034842974914328114,0.5082734916375655,0.3889936818325886,0.0035398405724929353,13
0.08217054864345726,0.0001745353520383803,0.5345371524402432,0.3809887139575075,0.002129049606753717,14
0.06744313560788229,8.54773117985091e-05,0.5607800162533018,0.3704350598436979,0.0012563109833195495,15
0.05471176046781571,4.095573691291265e-05,0.5870223689072381,0.35749707095032496,0.0007278439377083778,16
0.04391199378837897,1.920653113300812e-05,0.6132839729274008,0.34237062288583353,0.00041420386725377875,17
0.034901224466029605,8.817014136699556e-06,0.6395727303694902,0.3252856316218228,0.00023159652852076574,18
0.027491052668908642,3.9619103647988165e-06,0.6658716738843626,0.3065060746693897,0.00012723686697429834,19
0.021473722597097462,1.7421429371568066e-06,0.6921269924771817,0.2863288671390301,6.867564375358954e-05,20
