S1,S2,S3,S4,S5,iteration
0.24495677233429392,0.1239193083573487,0.1930835734870317,0.24495677233429392,0.1930835734870317,0
0.25271139387241703,0.11641451735000327,0.17449024545854439,0.2496759064919056,0.2067079368271298,1
0.26071642886311047,0.10885278583980068,0.15531817416248406,0.2537222218388094,0.2213903892957954,2
0.2688292331839039,0.10125129904068617,0.13596524260268328,0.2568242318334665,0.23712999333926016,3
0.27687474519005106,0.09363905875698282,0.11689077229428459,0.2586952888743374,0.2539001348843441,4
0.28465380114714295,0.08606000735121914,0.0985780758008704,0.25905622199585,0.27165189370491766,5
0.291955894676465,0.0785737636998136,0.08148553056146995,0.2576624071506655,0.2903224039115861,6
0.29857403248937336,0.07125304472620103,0.06599532833101474,0.2543304504370037,0.30984714401640717,7
0.3043181362096163,0.06417774865722273,0.052371858472616786,0.24895880176243546,0.3301734548981088,8
0.30902351884890206,0.05742681193423565,0.040740072573341946,0.24153790001953282,0.3512716966239875,9
0.3125525442956426,0.051069779107668356,0.031088174344270927,0.23214858702937133,0.37314091522304677,10
0.3147899937865522,0.04516009908540963,0.023291316103875737,0.22095103719271442,0.395807553831448,11
0.3156347528436095,0.03973146076190004,0.017147409370711564,0.20816860847466928,0.41931776854910974,12
0.31499132922701123,0.03479741681386153,0.012414862801060703,0.19407103109297344,0.44372536006509317,13
0.3127643291816311,0.03035364190975293,0.00884453675325054,0.17895971217526707,0.4690777799800984,14
0.30885787261625797,0.026381736303463285,0.006202248673508221,0.16315583222532312,0.4954023101814474,15
0.30318062742893387,0.022853509502849104,0.004281683362173084,0.14699035166169938,0.5226938280443445,16
0.29565603719027933,0.019734968525661176,0.002909590958434407,0.13079444664834394,0.5509049566772811,17
0.28623646778948425,0.01698958645107964,0.0019457703442296976,0.11488915611678441,0.579939019298422,18
0.2749193454532694,0.01458071484950936,0.0012800785581773967,0.09957380964970801,0.6096460514893358,19
0.26176286558375456,0.01247318817153581,0.0008281099227642634,0.08511374517283006,0.6398220911491153,20
